28
10184, 0.20191, 2e-05
46422, 0.93776, 7e-05
49950, 0.99443, 0.00214
27712, 0.99547, 0.00269
4907, 0.99739, 0.012
27485, 0.99991, 0.02808
41303, 0.99997, 0.08259
29199, 0.99999, 0.68248
19210, 0.99983, 0.96294
47312, 0.99908, 0.99758
28357, 0.99863, 0.99983
22169, 0.87712, 0.99998
37572, 0.60314, 0.99997
30529, 0.03413, 0.99989
24166, 0.01617, 0.99899
18284, 0.0034, 0.99834
39427, 0.00093, 0.97698
15529, 0.00057, 0.96123
14646, 0.00018, 0.88194
18042, 7e-05, 0.64713
7146, 1e-05, 0.1945
43164, 0.00012, 0.04352
29803, 0.00067, 0.01251
36781, 0.0024, 0.00527
23274, 0.00868, 0.00293
15512, 0.01237, 0.00185
8926, 0.01762, 0.0005
6483, 0.117, 0.0001
