500
0.70534, 0.07451
0.82521, 0.93613
0.74757, 0.04334
0.41002, 0.07609
0.11205, 0.47638
0.55, 0.83501
0.8102, 0.43236
0.61038, 0.45512
0.40209, 0.56017
0.9453, 0.99821
0.29952, 0.80073
0.29251, 0.87977
0.10445, 0.21238
0.66565, 0.87078
0.15957, 0.88933
0.60942, 0.65857
0.25378, 0.5461
0.67725, 0.44224
0.15744, 0.87412
0.83857, 0.94731
0.742, 0.71903
0.86604, 0.13231
0.83142, 0.90795
0.89789, 0.77578
0.60722, 0.6198
0.66174, 0.5649
0.19155, 0.08649
0.82963, 0.17735
0.9166, 0.55843
0.27058, 0.0889
0.31333, 0.54903
0.77566, 0.56232
0.53654, 0.9385
0.3471, 0.09539
0.91868, 0.94179
0.35001, 0.11976
0.76888, 0.61926
0.315, 0.52823
0.64579, 0.60664
0.73319, 0.25888
0.34772, 0.30742
0.51184, 0.98916
0.76035, 0.86028
0.01041, 0.59209
0.56325, 0.3396
0.47121, 0.22864
0.61249, 0.2044
0.78258, 0.97765
0.23806, 0.86856
0.30757, 0.23433
0.90939, 0.55607
0.58007, 0.15284
0.54578, 0.11207
0.64058, 0.08431
0.47203, 0.83355
0.12677, 0.78257
0.65861, 0.75366
0.1803, 0.71205
0.0049, 0.77535
0.88221, 0.61354
0.81849, 0.30386
0.05039, 0.85121
0.36198, 0.96397
0.79524, 0.73137
0.09949, 0.75973
0.44639, 0.91733
0.50023, 0.77218
0.05807, 0.44041
0.62188, 0.03371
0.97393, 0.19919
0.90968, 0.35759
0.97085, 0.7706
0.88113, 0.87901
0.91809, 0.91058
0.61642, 0.76055
0.32339, 0.00806
0.75754, 0.29579
0.52633, 0.31231
0.61478, 0.22865
0.77991, 0.25631
0.16319, 0.93492
0.57179, 0.95576
0.69582, 0.12812
0.93757, 0.40575
0.56869, 0.01305
0.54699, 0.85186
0.95663, 0.58057
0.78547, 0.92575
0.57588, 0.64772
0.55002, 0.92923
0.79015, 0.82826
0.17982, 0.28633
0.93403, 0.42785
0.61286, 0.98294
0.2862, 0.24127
0.8205, 0.40228
0.77267, 0.16561
0.80835, 0.23991
0.82703, 0.00291
0.81191, 0.4233
0.89028, 0.7213
0.51913, 0.17373
0.57419, 0.93041
0.11248, 0.54696
0.86155, 0.81888
0.42821, 0.47154
0.94113, 0.8131
