25
4913, 0.62734, 5e-05
2089, 0.70008, 0.00195
3496, 0.95599, 0.00961
1264, 0.97124, 0.01016
4110, 0.987, 0.01075
1929, 0.99373, 0.02131
718, 0.99812, 0.07312
1478, 0.99975, 0.18274
5, 0.99962, 0.62394
2039, 0.99906, 0.91399
1947, 0.99291, 0.99034
2831, 0.97597, 0.99387
2796, 0.94225, 0.99979
1650, 0.77491, 0.99979
3091, 0.01154, 0.99836
3486, 0.00254, 0.98443
4162, 0.00071, 0.57655
2777, 0.00071, 0.20055
3058, 0.00128, 0.10022
1062, 0.00155, 0.06574
3461, 0.00229, 0.00864
724, 0.01442, 0.00642
4375, 0.04709, 0.00228
3636, 0.11236, 0.00067
39, 0.16203, 0.0003
