27
26428, 0.06334, 1e-05
937312, 0.95876, 1e-05
523060, 0.96262, 3e-05
45540, 0.97303, 9e-05
402029, 0.99467, 0.00026
9683, 0.99793, 0.00054
849452, 0.99965, 0.00162
592082, 0.99968, 0.00174
347706, 0.99999, 0.00921
127548, 1.0, 0.01191
183600, 1.0, 0.86836
373288, 0.99999, 0.99011
705502, 0.99992, 0.99819
47000, 0.99962, 0.99965
560578, 0.98355, 0.99989
392158, 0.9373, 0.99999
740072, 0.78999, 1.0
349253, 0.03185, 1.0
224790, 0.00888, 0.99999
380599, 0.0032, 0.99985
587022, 0.00137, 0.99946
983625, 0.00031, 0.99891
878420, 1e-05, 0.99777
801395, 1e-05, 0.03011
200827, 3e-05, 0.00426
226206, 6e-05, 0.00298
775464, 0.00034, 4e-05
