30
7430, 0.68317, 5e-05
1559, 0.86698, 0.00015
8004, 0.93199, 0.00066
944, 0.94065, 0.00086
5116, 0.99701, 0.00289
990, 0.9995, 0.10445
1085, 0.99979, 0.17373
4814, 0.99969, 0.65506
6224, 0.99895, 0.91707
3453, 0.99873, 0.96068
3927, 0.99849, 0.99327
2359, 0.95375, 0.99998
6287, 0.77112, 0.99992
6791, 0.16493, 0.99953
6620, 0.15334, 0.99943
5622, 0.03938, 0.99698
6517, 0.01929, 0.99375
415, 0.00674, 0.98881
6473, 0.00539, 0.98743
7346, 0.00228, 0.97976
1650, 0.00056, 0.92806
9850, 0.00025, 0.62312
1649, 0.00024, 0.4947
3094, 0.00062, 0.09683
5855, 0.00084, 0.06364
4959, 0.00351, 0.01097
4222, 0.00506, 0.00294
7254, 0.04207, 0.00088
8705, 0.12182, 0.00027
6559, 0.24207, 0.00018
